Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
203013,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,aurita,"(Cope, 1869)",,,,,Gerrhonotus auritus  ,Cope's Arboreal Alligator Lizard ,,,EN,B1ab(iii),3.1,2013,unknown,N
63675,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,chiszari,"Smith & Smith, 1981",,,,,"",Chiszar's Arboreal Alligator Lizard,,,EN,B1ab(iii),3.1,2007,decreasing,N
63676,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,deppii,"(Wiegmann, 1828)",,,,,Gerrhonotus deppii  ,,,,EN,B1ab(iii),3.1,2007,decreasing,N
203015,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,fimbriata,"(Cope, 1884)",,,,,Barissia fimbriata  ,,,,EN,B1ab(iii),3.1,2014,unknown,N
63677,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,fuscolabialis,"(Tihen, 1944)",,,,,Abronia kalaina  |Gerrhonotus fuscolabialis  ,Mount Zempoaltepec Alligator Lizard,,,EN,B1ab(iii),3.1,2007,decreasing,N
203016,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,gaiophantasma,"Campbell & Frost, 1993",,,,,"",Brilliant Arboreal Alligator Lizard,,,EN,B1ab(iii),3.1,2014,unknown,N
63678,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,graminea,"(Cope, 1864)",,,,,Gerrhonotus gramineus  ,Terrestrial Arboreal Alligator Lizard,,,EN,B1ab(iii),3.1,2007,decreasing,N
63681,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,martindelcampoi,"Flores & Sánchez, 2003",,,,,"",,,,EN,B1ab(iii),3.1,2007,decreasing,N
63682,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,matudai,"(Hartweg & Tihen, 1946)",,,,,Gerrhonotus matudae  ,Matuda's Arboreal Alligator Lizard,,,EN,B1ab(iii),3.1,2013,unknown,N
203017,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,meledona,"Campbell & Brodie, 1999",,,,,"",,,,EN,B1ab(iii),3.1,2013,unknown,N
20,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,ANGUIDAE,Abronia,montecristoi,"Hidalgo, 1983",,,,,"","Monte Cristo Arboreal Alligator Lizard, Montecristo Arboreal Alligator Lizard",,,EN,B1ab(iii),3.1,2013,decreasing,N
